DATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Solar Thermal and Photovoltaic,Wind,Wood and Wood Derived Fuels
2001-01-01,709148444.0,4917300.0,75408194.0,169554652.0,274828308.0,3966680.0,4834584.0,2873768.0,72447372.0,26000.0,1557000.0,12764848.0
2001-02-01,598941934.0,4292176.0,69891562.0,151867704.0,245089628.0,3487797.0,4385324.0,2702636.0,41366012.0,50272.0,1724968.0,10788604.0
2001-03-01,621076042.0,4760092.0,81908758.0,177457656.0,248562848.0,3724622.0,4756158.0,3076724.0,46932022.0,125992.0,2128480.0,11410160.0
2001-04-01,562682612.0,4379964.0,72051976.0,183370982.0,224012104.0,3829824.0,4748957.0,2791372.0,43453506.0,155036.0,2738782.0,11284028.0
2001-05-01,606371658.0,4285520.0,76702540.0,203736820.0,246049780.0,3945070.0,4842966.0,3138220.0,41559958.0,324212.0,2540116.0,10959732.0
2001-06-01,650463216.0,4351312.0,82910518.0,230412612.0,272092392.0,3910009.0,4899088.0,2932792.0,47291364.0,364572.0,2678536.0,11564100.0
2001-07-01,716241640.0,4714132.0,72316476.0,292120566.0,276664160.0,4088663.0,5143129.0,3360408.0,44168108.0,367976.0,2539968.0,12212716.0
2001-08-01,732464292.0,4668952.0,75655070.0,313639216.0,273557984.0,4191717.0,5139285.0,3390760.0,56917704.0,341196.0,2308824.0,12714760.0
2001-09-01,616633270.0,4556040.0,61024112.0,240724560.0,253513804.0,4015241.0,4805852.0,3069464.0,29369942.0,259212.0,1960916.0,11496676.0
2001-10-01,595723262.0,4646908.0,60938010.0,225505762.0,241843868.0,4098882.0,4858550.0,2948028.0,26135734.0,83252.0,2427316.0,12185864.0
2001-11-01,576467994.0,4628680.0,61651720.0,177962488.0,249366844.0,4161564.0,4767284.0,2794148.0,23722884.0,57156.0,1881792.0,11516428.0
2001-12-01,629609398.0,4760928.0,77385258.0,190163448.0,269723512.0,4205318.0,5011420.0,3079572.0,26156284.0,16144.0,2462628.0,11901704.0
2002-01-01,657432074.0,5149932.0,87179726.0,193651336.0,283703452.0,3951396.0,4933892.0,3690860.0,26761476.0,45280.0,3245606.0,13021288.0
2002-02-01,572195282.0,4528780.0,80766734.0,177233721.0,246633096.0,3925755.0,4344496.0,3038640.0,22655250.0,94260.0,2855727.0,11375840.0
2002-03-01,605942599.0,4979872.0,84035255.0,204857851.0,252162588.0,4032929.0,5007099.0,3615714.0,32869500.0,177588.0,3408408.0,11843160.0
2002-04-01,569218380.0,4458940.0,96986417.0,196585633.0,233748248.0,4127510.0,4646394.0,3559762.0,31334319.0,183432.0,4097667.0,12785385.0
2002-05-01,605625601.0,4863496.0,106650776.0,201100954.0,252128768.0,4163497.0,4988745.0,3638262.0,32507470.0,230560.0,4310562.0,12644745.0
2002-06-01,658670779.0,4603196.0,112851384.0,262524076.0,265487584.0,4530000.0,5190393.0,4034638.0,31183446.0,382172.0,4505261.0,13581957.0
2002-07-01,732778807.0,5048986.0,101882586.0,335669068.0,281683308.0,5983758.0,5511908.0,4284582.0,39651972.0,342148.0,3561818.0,13760899.0
2002-08-01,719821789.0,4908388.0,84335698.0,337907470.0,283110752.0,5315602.0,5584868.0,4466875.0,38947449.0,299700.0,3906766.0,13476455.0
